,Country,Year,Total,Temperature,Coal,Oil,Gas,Cement
0,AUSTRALIA,1991.0,0.007481896963809838,0.9661016949152542,0.009689543626444735,0.007008578234893267,0.0042871644528811245,0.0013050565805658057
1,AUSTRALIA,1992.0,0.00761665350786061,0.9152542372881356,0.009953211810945547,0.006981946178806334,0.004442015663741415,0.001198610496104961
2,AUSTRALIA,1993.0,0.007733836295996911,0.01694915254237288,0.009956347360332421,0.007182024417559598,0.004664248254222976,0.0012319384993849938
3,AUSTRALIA,1994.0,0.007863986128379553,0.5084745762711864,0.010041234948647223,0.007306580381842337,0.004842345407514567,0.0014285674456744567
4,AUSTRALIA,1995.0,0.008168902577329145,0.6949152542372882,0.01032976216519856,0.0076470278745020505,0.005208343143147889,0.001376691266912669
5,AUSTRALIA,1996.0,0.00835452952224964,0.4745762711864407,0.010639121378172226,0.007855265757091213,0.005199747293824554,0.0013298958589585896
6,AUSTRALIA,1997.0,0.008580969550163077,0.1694915254237288,0.0111237982901502,0.007830234975006586,0.005370922602737323,0.0013056945469454694
7,AUSTRALIA,1998.0,0.00895295379766567,0.7457627118644068,0.011783288890502975,0.0078916641587892,0.005686597542489503,0.0014249335793357933
8,AUSTRALIA,1999.0,0.009206797852580871,0.3898305084745763,0.012156613802621723,0.007993185546223112,0.005956000668486847,0.0014432107421074212
9,AUSTRALIA,2000.0,0.009372568545794607,0.1864406779661017,0.01232708779071997,0.008150175612734907,0.006092668095439258,0.0014845658056580565
10,AUSTRALIA,2001.0,0.009574747252908878,0.05084745762711865,0.012611805295498778,0.008170038101916308,0.006447906276092565,0.0014517847478474786
11,AUSTRALIA,2002.0,0.009693635818035567,0.5254237288135594,0.01268252630505323,0.008326693671799775,0.006613046955401428,0.0014299868798687985
12,AUSTRALIA,2003.0,0.00990233607268852,0.4745762711864407,0.012964189383168423,0.008736157969628828,0.006498985787066183,0.0014694612546125461
13,AUSTRALIA,2004.0,0.010267525097534274,0.2711864406779661,0.01341859575956659,0.009076046077638846,0.006867308849205382,0.0014574190241902418
14,AUSTRALIA,2005.0,0.010357401079677968,0.1016949152542373,0.013318268410881472,0.009298144223764113,0.007123420098729553,0.0015023070930709308
15,AUSTRALIA,2006.0,0.010525434824482165,0.3050847457627119,0.013563109080991611,0.009370452851649719,0.007297881175197834,0.0015941213612136122
16,AUSTRALIA,2007.0,0.010720699405353086,0.9661016949152542,0.013507179447977616,0.00953843059367537,0.007982797513030887,0.0016283505535055352
17,AUSTRALIA,2008.0,0.010844976819098703,0.01694915254237288,0.013582147740357311,0.009769654041134637,0.008079320465526606,0.0015838081180811808
18,AUSTRALIA,2009.0,0.01092134986832116,0.1864406779661017,0.013673761937184312,0.00977283074645956,0.008252806717212718,0.0015699126691266913
19,AUSTRALIA,2010.0,0.010868446132520061,1.0,0.013307404609922765,0.009950182333208822,0.008403233622706851,0.0014549466994669947
20,AUSTRALIA,2011.0,0.01083407366495804,1.0,0.012748534954744926,0.010375629477804502,0.008692949063504648,0.0014331824518245182
21,AUSTRALIA,2012.0,0.01089669793750905,0.6779661016949152,0.01255012923704892,0.01068961455253173,0.008853259293145087,0.0014424915949159491
22,AUSTRALIA,2013.0,0.010673846025558898,0.23728813559322035,0.011700281342892506,0.010891894603796819,0.009107187745876669,0.0013507257072570727
23,AUSTRALIA,2014.0,0.010567736723850044,0.9830508474576272,0.011154370394969039,0.011006737041989373,0.00938970857442232,0.0012864153341533417
24,AUSTRALIA,2015.0,0.010779173837558068,0.5423728813559322,0.011556882678247235,0.011009235842788784,0.009420584040873101,0.0012612365723657236
25,AUSTRALIA,2016.0,0.011034597457446218,0.0847457627118644,0.01191305867188283,0.010988624645000214,0.009814246532333279,0.0012016625666256664
26,AUSTRALIA,2017.0,0.011118038271771715,0.7966101694915254,0.011737434287792073,0.01115760433769168,0.009965543392123289,0.0012378277982779827
27,AUSTRALIA,2018.0,0.011169966291591843,0.3389830508474576,0.011236765170362801,0.011502029415712076,0.01038697930197155,0.0012061439114391143
28,AUSTRALIA,2020.0,0.010728717778875504,0.7796610169491526,0.01035794530215488,0.010834811850894088,0.011045599299986521,0.0011562779827798278
29,BELGIUM,1991.0,0.003270349000460116,0.3898305084745763,0.002649557436351929,0.004411015705991061,0.0028266303135592963,0.0011810020500205001
30,BELGIUM,1992.0,0.003246770734784387,0.864406779661017,0.002516437970829218,0.004446286508132328,0.0029034342148409743,0.001266330463304633
31,BELGIUM,1993.0,0.003218039485939412,0.6440677966101694,0.0024130100199746163,0.0044054160266635565,0.003035178874714335,0.001263739647396474
32,BELGIUM,1994.0,0.003308992018836127,0.3728813559322034,0.002509417234310587,0.004507295161036364,0.0030985179024488217,0.0013032677326773267
33,BELGIUM,1995.0,0.0033396762907774444,0.05084745762711865,0.002439163693618408,0.004456053339812592,0.003439641587889234,0.001334690446904469
34,BELGIUM,1997.0,0.003287100193822471,0.23728813559322035,0.0021043259659802582,0.004607489093456526,0.0036272908471952398,0.0012963952439524395
35,BELGIUM,1998.0,0.0034550831841358943,0.3389830508474576,0.0021905709812883906,0.004746963412934993,0.004036009706826856,0.0013016924969249694
36,BELGIUM,1999.0,0.0033065347409743854,0.15254237288135594,0.0019060432279408843,0.0994307237536166,0.24073137394756863,0.06064771547656981
37,BELGIUM,2000.0,0.003360886489991792,0.22033898305084745,0.002088109859155189,0.0043746310762540356,0.004341148693259318,0.0013408359983599837
38,BELGIUM,2001.0,0.0033432022715936846,0.8135593220338984,0.0018634207113219269,0.004643765086725013,0.004306927047576382,0.0012125416154161542
